aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
aasi ,"tyhmä, hölmö ihminen ",halv. Ootsä ihan aasi? Mä en lähe ton aasin kanssa mihkään. ,a stupid person
aatella ,ajatella  ,"Mun täytyy aatella sitä talon ostamista vielä. Mitä sä auttelet, olisko parempi ajaa Tampereen kautta? Aattele nyt itekin vähän! Niina on aatellu hakea yliopistoon. ",think
abi ,"abiturientti, lukiolainen joka kirjoittaa ylioppilaaksi  ","Meiän Niina on jo abi. Abit on viimestä vuotta lukiossa, ",final year student in high school
"ah, aah ",mielihyvää ilmaiseva huudahdus ,"Ah, toi tekee hyvää! Sit ku pääsee oikein kuumana päivänä uimaan, niin aah! ",<expression of pleasure>
aha 1 ,"äkillistä oivallusta tai ymmärtämistä ilmaiseva huudahdus: ahaa, ai (2) ","Aha, täst napist pitääkin painaa ensin, ",aha
aha 2 ,"hämmästynyt, harmistunut, välinpitämätön tms. vastaus, ilmaisemassa että asia on uusi: ai (3), ai jaa, vai niin, en tiennytkään   ","""Sulle tulijoku paksu kirje. Aha, mitäköhän siinä oikeen on? "" ""Ooksä huomannu, et sulia on joku tahra tossa? Aha, ja ihan uus paita."" ",aha
ahaa ,äkillistä oivallusta tai ymmärtämistä ilmaiseva huudahdus: aha (1)  ,"Ahaa, nyt mä vasta tajusin! ""Toi on se kaveri, josta mä puhuin sulle. Ahaa!"" ",aha
ahteri ,(iso) takapuoli  ,"Kato, mikä ahteri! Siellä mä vaan istuin sateessa ahteri märkänä. Työnnä se vaikka ahteriis. ",buttocks
ai 1 ,kipua tai harmia ilmaiseva huudahdus: aih ,"Ai saakeli, kun sattuu päähän. Ai, että sä kehtaat! ",ouch; hey
ai 2 ,"äkillistä oivallusta, ymmärtämistä tai hämmästystä ilmaiseva huudahdus: aha (1), ahaa ","Ai tossahan ne avaimet onkin! Ai, sinäkö se olit? Ai kun kiva! ",aha
ai 3 ,"ilahtunut, hämmästynyt, harmistunut, välinpitämätön tms. vastaus, ilmaisemassa että asia on uusi: aha (2), ai jaa, jaa, jaaha, vai niin, en tiennytkään  ","""Mä sain sit sen työpaikan. Ai, sehän on hyvä juttu."" ""Niina kirjottaa tänä keväänä. — Ai se on jo niin vanha. "" ""Kuule, mä en ehtiny käydä kaupassa. Ai mun pitää taas mennä. "" ""Sä et koskaan kuuntele, mitä mä puhun! -Ai."" ","oh, aha, oh yeah"
ai 4 ,"yllättynyt, täsmennystä vaativa vastaus: tarkoititko, että... ","""Osta litra kevytmaitoo. Ai kevytmaitoo? Eiks rasvaton käy sitten?"" ""Toi on se Ville. Ai kuka Ville?"" ""Paa se laatikko tohon. Ai tähän?"" ",<used when repeating interrogatively what sb else just said>
ai ai ,"torumista, päivittelyä tms. ilmaisemassa ","Varo vähän sitä lasia, ai ai! Ai ai, kun oisit uskonu mitä mä sanon. Ai ai, niinkö siinä taas kävi. ",<expression of reproof>
aih ,kipua ilmaiseva huudahdus: ai  ,"(1) Aih, suoraan pikkuvarpaaseen! Älä revi, aih! ",ouch
"ai jaa, ai jaha ","hämmästynyt, harmistunut, välinpitämätön tms. vastaus, ilmaisemassa että asia on uusi: aha (2), ai (3), jaa, niinkö, vai niin ","""Tuolta ne nyt tulee. Ai jaa, nyt jo?"" ""Ehtisitkö säkattoo vähän tätä? Ai jaha, mulla on kyllä nyt vähän kiire."" ""Mä kutsuin äidin meille käymään. Ai jaa. "" ","oh, aha, oh yeah"
aika ,"vahvistussana, joka ironisesti käytettynä kääntää pääsanan merkityksen päinvastaiseksi 'tuntui pahalta'. 'järjetön'  ","Mä kaaduin eilen rinteessä, teki aika hyvää Olipa aika järkevä temppu, ",quite (used ironically to invert the meaning)
aikalisä ,"tauko, jota tarvitaan jonkin asian tekemistä, loppuunsaattamista tai miettimistä varten  ","Mä sanoin pomolle, että se on aikalisän paikka. Ville otti aikalisän ja lähti kaljalle, ","time-out, break"
aikansa elänyt ,"vanhentunut, vanhanaikainen  ","Tää tietokone on jo aikansa eläny, ostasit uuden. Tommoset mielipiteet onjo ihan aikansa eläneitä, ",outdated
